episode,epsilon,reward,steps,success,normal_moves,wall_collisions,penalty_visits,closed_door_attempts,door_passes,periodic_gate_closed,periodic_gate_passes,key_collected,goal_reached_count,step_limit_reached_count,terminated,truncated
160,0.38572026936757065,-318.4999999999997,286,1,255,24,1,0,1,0,3,1,1,0,1,0
161,0.3834161494676032,-336.63999999999993,282,1,239,28,2,0,1,4,6,1,1,0,1,0
162,0.38112579334655805,-222.6900000000001,184,1,152,24,4,0,1,0,1,1,1,0,1,0
163,0.3788491187857928,-439.0399999999997,367,1,330,31,2,0,1,0,1,1,1,0,1,0
164,0.3765860440578022,-673.2000000000013,423,0,374,34,5,0,2,1,6,1,0,1,0,1
165,0.3743364879232846,-709.6399999999995,423,0,363,55,2,0,1,0,1,1,0,1,0,1
166,0.3721003696282255,-173.51999999999987,184,1,162,16,2,0,2,0,0,1,1,0,1,0
167,0.3698776089009986,-666.829999999998,423,0,380,34,7,0,0,0,1,1,0,1,0,1
168,0.3676681259494843,-146.84999999999997,184,1,167,10,2,0,2,0,1,1,1,0,1,0
169,0.3654718414582053,-505.52000000000004,398,1,355,30,6,0,1,0,4,1,1,0,1,0
170,0.3632886765854796,-704.7099999999989,423,0,376,36,9,0,0,0,1,1,0,1,0,1
171,0.36111855296058976,-625.929999999998,423,0,384,32,3,0,0,1,2,1,0,1,0,1
172,0.35896139268097005,-142.97999999999996,172,1,155,9,3,0,1,1,1,1,1,0,1,0
173,0.35681711830940965,-574.8399999999988,423,0,388,22,1,0,0,3,8,1,0,1,0,1
174,0.354685652871273,-658.6700000000017,423,0,380,29,7,0,3,1,2,1,0,1,0,1
175,0.3525669198517364,-673.1100000000009,423,0,376,24,10,0,3,1,8,1,0,1,0,1
176,0.3504608431930413,-640.5200000000009,423,0,384,23,6,0,1,3,5,1,0,1,0,1
177,0.3483673472917644,-580.4399999999989,423,0,395,24,2,0,0,0,1,1,0,1,0,1
178,0.34628635699610294,-436.90000000000015,390,1,359,18,5,0,1,0,5,1,1,0,1,0
179,0.3442177976031777,-74.92,134,1,121,10,0,0,1,0,0,1,1,0,1,0
180,0.3421615948563507,-121.56999999999998,140,1,114,20,0,0,4,0,0,1,1,0,1,0
181,0.34011767494255996,-461.4600000000008,346,1,301,23,10,0,2,1,7,1,1,0,1,0
182,0.33808596448966954,-405.6499999999997,406,1,384,15,1,0,1,1,2,1,1,0,1,0
183,0.33606639056383575,-616.2099999999987,423,0,389,24,5,0,2,1,1,1,0,1,0,1
